Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Thambawita, Vajira; Herath, Kalindu; Ragel, Roshan; Elkaduwe, Dhammika; ",Low Cost Telepresence Robot,,,,,2011,University of Peradeniya
"Thambawita, Vajira; Herath, Kalindu; ",BUILDING A LOW-COST TELEPRESENCE ROBOT WITH GENERIC HARDWARE,,,,,2011,
"Thambawita, Vajira; Ragel, Roshan; Elkaduwe, Dhammika; ",To use or not to use: Graphics processing units (GPUs) for pattern matching algorithms,7th International Conference on Information and Automation for Sustainability,,,1-4,2014,IEEE
"Thambawita, DRVLB; Ragel, Roshan G; Elkaduwe, Dhammike; ",An optimized Parallel Failure-less Aho-Corasick algorithm for DNA sequence matching,2016 IEEE International Conference on Information and Automation for Sustainability (ICIAfS),,,1-6,2016,IEEE
"Thambawita, DRVLB; Ellepola, NC; Ragel, RG; Elkaduwe, D; ",Graphics Processing Units: To Use or Not to Use?,,,,,2013,The University of Peradeniya
"Thambawita, DRVLB; Ragel, Roshan G; Elkaduwe, Dhammike; ",To use or not to use: CPUs' cache optimization techniques on GPGPUs,2016 IEEE International Conference on Information and Automation for Sustainability (ICIAfS),,,1-6,2016,IEEE
"Thambawita, Vajira; Jha, Debesh; Riegler, Michael; Halvorsen, Pål; Hammer, Hugo Lewi; Johansen, Håvard D; Johansen, Dag; ",The medico-task 2018: Disease detection in the gastrointestinal tract using global features and deep learning,arXiv preprint arXiv:1810.13278,,,,2018,
"Kirkerùd, Mathias; Thambawita, Vajira; Riegler, Michael; Halvorsen, Pål; ",Using preprocessing as a tool in medical image detection,,,,,2018,
"Kirkerød, Mathias; Borgli, Rune Johan; Thambawita, Vajira; Hicks, Steven; Riegler, Michael Alexander; Halvorsen, Pål; ",Unsupervised preprocessing to improve generalisation for medical image classification,2019 13th International Symposium on Medical Information and Communication Technology (ISMICT),,,1-6,2019,IEEE
"Thambawita, Vajira; Hammer, Hugo Lewi; Riegler, Michael; Halvorsen, Pål; ","GANEx: A complete pipeline of training, inference and benchmarking GAN experiments",2019 International Conference on Content-Based Multimedia Indexing (CBMI),,,1-4,2019,IEEE
